TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 585.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 282
tdiff = 590, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 285
tdiff = 595, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67544, min_delta_t = 1555.2, val = 286
tdiff = 600.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 288
tdiff = 605.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66896, min_delta_t = 1555.2, val = 291
tdiff = 610.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 293
tdiff = 615, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69056, min_delta_t = 1555.2, val = 296
tdiff = 620, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68840, min_delta_t = 1555.2, val = 299
tdiff = 625.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71000, min_delta_t = 1555.2, val = 301
tdiff = 630, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 304
tdiff = 635.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 305
tdiff = 640.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 306
tdiff = 645.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 309
tdiff = 650.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67544, min_delta_t = 1555.2, val = 312
tdiff = 655.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72296, min_delta_t = 1555.2, val = 314
tdiff = 660, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68840, min_delta_t = 1555.2, val = 317
tdiff = 665, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 319
tdiff = 670, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 322
tdiff = 675, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 325
tdiff = 680, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 1555.2, val = 327
tdiff = 685, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74456, min_delta_t = 1555.2, val = 330
tdiff = 690, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 333
tdiff = 695.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71216, min_delta_t = 1555.2, val = 336
tdiff = 700, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74672, min_delta_t = 1555.2, val = 337
tdiff = 705, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68840, min_delta_t = 1555.2, val = 339
tdiff = 710, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 341
tdiff = 715.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 344
tdiff = 720.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68840, min_delta_t = 1555.2, val = 345
tdiff = 725.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 347
tdiff = 730.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69056, min_delta_t = 1555.2, val = 348
tdiff = 735, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 349
tdiff = 740.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72944, min_delta_t = 1555.2, val = 352
tdiff = 745, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 355
tdiff = 750.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 358
tdiff = 755.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 359
tdiff = 760.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 360
tdiff = 765.007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 363
tdiff = 770.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 1555.2, val = 365
tdiff = 775.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 368
tdiff = 780.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 371
tdiff = 785.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 373
tdiff = 790.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 376
tdiff = 795.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71864, min_delta_t = 1555.2, val = 378
tdiff = 800.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 381
tdiff = 805, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 382
tdiff = 810.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71864, min_delta_t = 1555.2, val = 385
tdiff = 815, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 1555.2, val = 388
tdiff = 820, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 390
tdiff = 825.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 1555.2, val = 393
tdiff = 830, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 395
tdiff = 835, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 397
tdiff = 840.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 399
tdiff = 845, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 401
tdiff = 850, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 404
tdiff = 855.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71000, min_delta_t = 1555.2, val = 406
tdiff = 860.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67544, min_delta_t = 1555.2, val = 408
tdiff = 865.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65600, min_delta_t = 1555.2, val = 409
tdiff = 870.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72296, min_delta_t = 1555.2, val = 411
tdiff = 875.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72944, min_delta_t = 1555.2, val = 414
tdiff = 880.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 416
tdiff = 885.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 417
tdiff = 890, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66896, min_delta_t = 1555.2, val = 420
tdiff = 895.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72296, min_delta_t = 1555.2, val = 422
tdiff = 900, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 425
tdiff = 905.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 427
tdiff = 910.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 429
tdiff = 915, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 432
tdiff = 920, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 434
tdiff = 925, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 436
tdiff = 930, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 439
tdiff = 935.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 441
tdiff = 940.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 1555.2, val = 443
tdiff = 945, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 445
tdiff = 950.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67544, min_delta_t = 1555.2, val = 446
tdiff = 955, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 1555.2, val = 449
tdiff = 960, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 452
tdiff = 965.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71864, min_delta_t = 1555.2, val = 454
tdiff = 970.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 455
tdiff = 975, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 457
tdiff = 980, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 460
tdiff = 985.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71000, min_delta_t = 1555.2, val = 463
tdiff = 990, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 465
tdiff = 995, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 468
tdiff = 1000, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 468
tdiff = 1005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68624, min_delta_t = 1555.2, val = 470
tdiff = 1010, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 473
tdiff = 1015, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 475
